Name,Birth_Year,End_Year
Klvarjhn,2000,2000
Zctirghf,1997,1997
Ppjjnkoe,1930,1971
Tthbkecr,1963,1963
Rqjajoqc,1906,1998
Nptldvcm,1952,1964
Vdgklfur,1995,1998
Dpoylyfi,1901,1996
Tmdibeaw,1995,1998
Bqejfokz,1960,1966
Tzdovxau,1900,1917
Ptlonizx,1934,1951
Eytjmmlf,1973,1997
Ngtweuip,1948,1957
Dgwuzhfp,1986,1999
Onqizvgu,1907,1940
Lvbdqjap,1937,1983
Akledycy,1938,1948
Hwiwiapk,1988,1992
Oondshes,1912,1967
Hpfdwecm,1920,1923
Shkxbpmf,1981,1993
Tqszelxh,1944,1991
Tjvtxrqf,1998,1998
Ydfvrhep,1906,1918
Uyxmwqxf,1995,1997
Guajhilq,1902,1939
Yhgqsplw,1934,1994
Higibuli,1987,1990
Ukgoxddv,1954,1968
Vnorensh,1981,1986
Faxbdyos,1932,1966
Xctupoas,1974,1988
Mpiabuto,1913,1958
Cenpbtnf,1941,1999
Pknbkstu,1908,1965
Naogvprw,2000,2000
Ezpukspe,1973,1996
Auhtybbh,1961,1974
Azmnzbqg,1977,1987
Brfbupvs,1962,1989
Dobgpssu,1932,1983
Nkgrifnb,1981,1988
Cikhtjpg,1997,1998
Gjrxelxf,1992,1994
Ivyaxrko,1972,1988
Btxgqvdt,1949,1960
Dmvznesi,1949,1994
Iidnagjk,1939,1943
Yankgmlk,1928,1953
Idssdway,1951,1987
Zcbvgtpj,1925,1954
Ltjkhcyl,1972,1972
Shbdoepl,1940,1949
Fkwrcwzr,1912,1958
Wcexxoth,1942,1943
Xpgmaray,1928,1933
Ddzceaws,1932,1960
Dhifdqde,1923,1923
Lhajgqek,1965,1979
Vbkbjtdb,1973,1997
Razaxqgb,1934,1959
Owshrwdp,1982,1992
Wmbxpcwg,1984,1991
Mbljikia,1949,1982
Jdbgwzjd,1939,1970
Pogfafzb,1943,1989
Tzfyxmli,1995,1996
Occedtlu,1903,1963
Ttwiuyuf,1935,1942
Lgpsxjxd,1937,1962
Naedynlc,1905,1931
Ueavbadw,1912,1996
Rfzvvhnk,1926,1984
Vhlqcsot,1938,1956
Msebigfu,1964,1997
Gazlshaj,1929,1975
Abvhlmtk,1973,1982
Ljmvlzbx,1949,1979
Cttjnuiz,1993,1999
Sflthlwx,1962,1995
